Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,planning_year,model,percent_total,case
cFix,68909863183.2,3.1021920731e9,9.178273785699999e8,8.504408434200002e8,1.79536302151e9,1.9067363609400003e9,3.25709846882e9,1.2512360326e9,2.2683812396600003e9,3.70548745617e9,2.498905961839999e9,1.0516323128999999e8,1.4132075266500003e9,2.52199219297e9,1.32483822204e9,4.1389407415199986e9,4.439335196779999e9,2.5772865380000005e9,2.2414948233499994e9,1.84315305822e9,4.7309010945199995e9,4.68882615882e9,4.33514576433e9,3.12315164661e9,2.4770418707999997e9,5.846741989100001e9,1.5489742915599997e9,2027,GenX,0.5,20-week-foresight
cVar,53645614264.2,8.545692351800573e8,1.4848469347315748e9,1.3912612084995527e9,5.891189962555871e9,1.8774360524864488e9,1.5535423889566097e9,1.7209082975988421e9,3.5362252564337325e9,1.8359100161619003e9,8.16081214491236e8,6.901842463016154e8,1.2548446446585743e9,1.7052453488837724e9,1.339879291306047e9,5.648027707456083e9,5.328399277515255e9,2.884925157296999e8,5.33749980270034e8,2.985544595049007e8,8.071216902850037e8,3.0856324803800435e9,2.6257268826837754e9,3.42452974236033e9,1.465175394229099e9,3.792421407869242e9,3.9565862774954e8,2027,GenX,0.4,20-week-foresight
cNSE,150705004.9,23188.586751708797,23198.8778826584,23205.377061910574,23651.44172047726,8.693696445477767e7,23176.143473271663,23213.502956306045,23377.283087875665,23365.96707282823,23210.66156464502,6.320972897195569e7,23174.874871342774,23235.77895907465,23217.81225769766,23392.22337215017,23242.11280275087,23142.876652314153,23177.43130391112,23115.781093638678,23234.356234072766,23204.034408210173,23258.00961986068,23307.592647141337,23391.1368350195,23438.193780308182,23191.388934614566,2027,GenX,0.0,20-week-foresight
cStart,457850213.2,5.967970551772845e6,1.5591307008334314e6,4.983314231332034e6,3.9348302310726037e6,7.0109069627544405e6,3.109294686093279e7,3.4537183693502387e6,1.2777382837330889e7,7.514034329729886e7,1.14243249933886e6,3.9541476712616584e6,770685.1243822637,9.64663450804547e6,2.7257461524200635e6,1.390200116519449e7,6.14093861833199e6,1.01087135254537e7,2.2912835399459627e7,1.4947281977654386e7,3.1289759934142813e7,7.640417763514685e6,1.116044745492251e7,5.446926528571573e6,7.348126316802463e6,1.4532387944131035e8,1.7468695097488213e7,2027,GenX,0.0,20-week-foresight
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,GenX,0.0,20-week-foresight
cNetworkExp,2684240467.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,GenX,0.0,20-week-foresight
cUnmetPolicyPenalty,183178.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,GenX,0.0,20-week-foresight
cFix,132571881681.7,4.980750106379999e9,1.9333271902699995e9,1.9819335367099996e9,7.17497950008e9,5.475723949180003e9,6.68010097557e9,3.4182648610800004e9,3.0302492183300004e9,9.66091139023e9,5.14909349048e9,9.160420283999999e7,3.16494228621e9,2.5657037383400006e9,3.25979678721e9,6.53539978389e9,1.0946468597e10,5.42733839318e9,2.5961213358299994e9,2.52896462476e9,1.082682334467e10,7.14440908257e9,7.449463549049998e9,4.65937280628e9,3.1263302785299997e9,1.0456828404830004e10,2.30698024821e9,2030,GenX,0.7,20-week-foresight
cVar,33617531296.7,2.1539021100791988e8,9.554123860414087e8,5.851318239115345e8,4.490536860195347e9,8.362272392001222e8,1.4763407969344008e9,1.1446429431413763e9,1.736345861133533e9,7.138036184876198e8,1.893424453510131e8,2.859110326042105e8,5.708673157016221e8,1.1068708570197957e9,5.828673697539166e8,3.1670848839268856e9,5.653943082078082e9,3.48685397505702e7,1.3669162508308968e8,7.108126916556069e7,3.262229367241948e8,2.8153939028412247e9,1.6363600360066147e9,2.509267389358916e9,6.07629286713119e8,1.571769986470096e9,1.9752759809169087e8,2030,GenX,0.2,20-week-foresight
cNSE,37549551.3,167067.57511242357,165587.82812964576,166660.6976843432,174618.64321661618,3.3315274251419026e7,168149.44398389637,171073.04253423424,170942.36599701984,168570.61122748087,171918.8214706862,170425.36128128177,165337.15669236175,173601.74494438045,171271.1515191084,176367.34140122452,166933.22693366697,162692.79536703712,165709.86951069353,162625.28481655804,173063.13426259073,169122.78922175922,170464.56915589864,169943.9169740767,170420.52580652508,174745.7653948413,166963.4180905085,2030,GenX,0.0,20-week-foresight
cStart,2025195911.6,1.5724617885519102e7,3.301464474541094e7,2.594248441878682e7,3.342256773899373e8,7.184145099342674e7,8.837462085523908e7,6.083561744759078e7,1.24413925654575e8,6.614187654125936e7,1.0411526642844902e7,2.5223273726143472e7,2.3382095076279316e7,2.99968023089791e7,2.981702757715801e7,1.800935566092352e8,2.94087088595578e8,4.937569977654362e6,1.0087531698572416e7,6.854919555106886e6,3.3993137203982055e7,1.1412216639488752e8,7.350818460687537e7,1.4832500068274853e8,3.121727152828606e7,1.662782915239351e8,2.2345551957760848e7,2030,GenX,0.0,20-week-foresight
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,GenX,0.0,20-week-foresight
cNetworkExp,11116875817.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,GenX,0.1,20-week-foresight
cUnmetPolicyPenalty,9552.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,GenX,0.0,20-week-foresight
cFix,176750184994.0,6.478683309349999e9,3.10978448622e9,3.566897280990001e9,9.35567024626e9,8.14477326474e9,9.702571178400002e9,4.48733928272e9,4.619989590339999e9,1.2378965622840004e10,6.949611108960001e9,1.0170942601e8,4.387055490070003e9,3.3591361269e9,3.71868130789e9,7.450332459219999e9,1.5651150922470001e10,6.738503243490003e9,3.3987789051699986e9,3.276536475930001e9,1.2275764122840002e10,8.741713342629997e9,8.870565813589998e9,7.404695938530002e9,5.261564516040001e9,1.436048782601e10,2.9592237063600006e9,2035,GenX,0.8,20-week-foresight
cVar,37763448709.0,2.5165830509980354e8,1.0088098199762108e9,1.1572847919098234e9,4.6468297039091215e9,1.0241615928942951e9,1.6533216870163982e9,1.0642741738079547e9,2.0283371003642523e9,1.020503764343637e9,2.6793012160738936e8,1.6800896394988996e8,4.5557876584808105e8,1.0008963889191997e9,6.395172185166e8,2.363561774588684e9,7.255235266197205e9,3.699803594106805e7,1.2172116130402668e8,7.012778580227388e7,2.091581216298583e8,3.2461214436780457e9,2.1629377204756255e9,2.7843904875232167e9,5.480496708316962e8,2.470222576576298e9,1.0781226630455084e8,2035,GenX,0.2,20-week-foresight
