model,line,line_name,planning_year,case,unit,value,end_value,start_region,dest_region
GenX,1.0,BASN_to_CANO,2023,20-week-foresight,MW,100.0,101.0,BASN,CANO
GenX,2.0,BASN_to_CASO,2023,20-week-foresight,MW,5920.0,5920.0,BASN,CASO
GenX,3.0,BASN_to_NWPP,2023,20-week-foresight,MW,3350.0,3350.0,BASN,NWPP
GenX,4.0,BASN_to_RMRG,2023,20-week-foresight,MW,3750.0,3752.0,BASN,RMRG
GenX,5.0,BASN_to_SRSG,2023,20-week-foresight,MW,5385.0,5385.0,BASN,SRSG
GenX,6.0,CANO_to_CASO,2023,20-week-foresight,MW,3675.0,3678.0,CANO,CASO
GenX,7.0,CANO_to_NWPP,2023,20-week-foresight,MW,3675.0,3675.0,CANO,NWPP
GenX,8.0,CASO_to_NWPP,2023,20-week-foresight,MW,2858.0,2858.0,CASO,NWPP
GenX,9.0,CASO_to_SRSG,2023,20-week-foresight,MW,4354.0,4354.0,CASO,SRSG
GenX,10.0,FRCC_to_SRSE,2023,20-week-foresight,MW,3600.0,3601.0,FRCC,SRSE
GenX,11.0,ISNE_to_NYCW,2023,20-week-foresight,MW,760.0,760.0,ISNE,NYCW
GenX,12.0,ISNE_to_NYUP,2023,20-week-foresight,MW,1400.0,1403.0,ISNE,NYUP
GenX,13.0,MISC_to_MISE,2023,20-week-foresight,MW,0.0,119.0,MISC,MISE
GenX,14.0,MISC_to_MISS,2023,20-week-foresight,MW,1039.0,1040.0,MISC,MISS
GenX,15.0,MISC_to_MISW,2023,20-week-foresight,MW,1655.0,1655.0,MISC,MISW
GenX,16.0,MISC_to_PJMC,2023,20-week-foresight,MW,5244.0,5250.0,MISC,PJMC
GenX,17.0,MISC_to_PJMW,2023,20-week-foresight,MW,5441.0,5442.0,MISC,PJMW
GenX,18.0,MISC_to_SPPC,2023,20-week-foresight,MW,1430.0,4210.0,MISC,SPPC
GenX,19.0,MISC_to_SPPN,2023,20-week-foresight,MW,0.0,870.0,MISC,SPPN
GenX,20.0,MISC_to_SPPS,2023,20-week-foresight,MW,1172.0,6362.0,MISC,SPPS
GenX,21.0,MISC_to_SRCE,2023,20-week-foresight,MW,3745.0,3745.0,MISC,SRCE
GenX,22.0,MISE_to_MISW,2023,20-week-foresight,MW,0.0,123.0,MISE,MISW
GenX,23.0,MISE_to_PJMW,2023,20-week-foresight,MW,2662.0,2663.0,MISE,PJMW
GenX,24.0,MISS_to_SPPC,2023,20-week-foresight,MW,0.0,1998.0,MISS,SPPC
GenX,25.0,MISS_to_SPPS,2023,20-week-foresight,MW,1697.0,18633.0,MISS,SPPS
GenX,26.0,MISS_to_SRCE,2023,20-week-foresight,MW,4092.0,4092.0,MISS,SRCE
GenX,27.0,MISS_to_SRSE,2023,20-week-foresight,MW,891.0,10891.0,MISS,SRSE
GenX,28.0,MISW_to_NWPP,2023,20-week-foresight,MW,200.0,217.0,MISW,NWPP
GenX,29.0,MISW_to_PJMC,2023,20-week-foresight,MW,3200.0,3207.0,MISW,PJMC
GenX,30.0,MISW_to_SPPC,2023,20-week-foresight,MW,0.0,80.0,MISW,SPPC
GenX,31.0,MISW_to_SPPN,2023,20-week-foresight,MW,5512.0,5519.0,MISW,SPPN
GenX,32.0,NWPP_to_RMRG,2023,20-week-foresight,MW,400.0,501.0,NWPP,RMRG
GenX,33.0,NYCW_to_NYUP,2023,20-week-foresight,MW,2489.0,2490.0,NYCW,NYUP
GenX,34.0,NYCW_to_PJME,2023,20-week-foresight,MW,660.0,4053.0,NYCW,PJME
GenX,35.0,NYUP_to_PJME,2023,20-week-foresight,MW,1255.0,1256.0,NYUP,PJME
