case,tech_type,planning_year,agg_zone,value,min,max
20-week-foresight,Battery,2027,CA,4285590.333333333,3110370.0,5648250.0
20-week-foresight,Battery,2027,MISO,116005.0,51584.0,216901.0
20-week-foresight,Battery,2027,NE,246391.33333333334,118478.0,377695.0
20-week-foresight,Battery,2027,PJM,185136.33333333334,75879.0,295605.0
20-week-foresight,Battery,2027,SOU,145408.33333333334,15936.0,261967.0
20-week-foresight,Battery,2027,SPP,172878.33333333334,75321.0,240113.0
20-week-foresight,Battery,2027,TRE,2006461.3333333333,1350007.0,2370595.0
20-week-foresight,Battery,2027,WECC,730154.0,475705.0,1142098.0
20-week-foresight,Battery,2030,CA,10861684.333333334,9867951.0,11390865.0
20-week-foresight,Battery,2030,MISO,205996.0,138352.0,330252.0
20-week-foresight,Battery,2030,NE,531407.6666666666,427753.0,684535.0
20-week-foresight,Battery,2030,PJM,203247.66666666666,124855.0,285018.0
20-week-foresight,Battery,2030,SOU,681962.3333333334,550191.0,869155.0
20-week-foresight,Battery,2030,SPP,264854.0,161826.0,335959.0
20-week-foresight,Battery,2030,TRE,3407176.3333333335,2705030.0,4085744.0
20-week-foresight,Battery,2030,WECC,2231821.3333333335,1636514.0,3161422.0
20-week-foresight,Battery,2035,CA,14995170.666666666,13532926.0,15893145.0
20-week-foresight,Battery,2035,MISO,393647.3333333333,122976.0,920281.0
20-week-foresight,Battery,2035,NE,2984921.6666666665,1491725.0,4255433.0
20-week-foresight,Battery,2035,PJM,304335.0,74791.0,748649.0
20-week-foresight,Battery,2035,SOU,962669.0,609755.0,1547413.0
20-week-foresight,Battery,2035,SPP,430909.0,161423.0,782047.0
20-week-foresight,Battery,2035,TRE,4259741.666666667,2975160.0,6058691.0
20-week-foresight,Battery,2035,WECC,3379243.0,2258548.0,5170858.0
20-week-foresight,Battery,2040,CA,2539543.0,119336.0,7354984.0
20-week-foresight,Battery,2040,MISO,400792.0,7.0,801577.0
20-week-foresight,Battery,2040,NE,12101629.0,10891531.0,13864122.0
20-week-foresight,Battery,2040,PJM,2596094.6666666665,7.0,4840139.0
20-week-foresight,Battery,2040,SOU,366430.0,6.0,732854.0
20-week-foresight,Battery,2040,SPP,231141.0,6.0,462276.0
20-week-foresight,Battery,2040,TRE,193558.5,105963.0,281154.0
20-week-foresight,Battery,2040,WECC,842032.3333333334,1057.0,2458063.0
20-week-foresight,Battery,2045,CA,7902272.0,2974999.0,15908078.0
20-week-foresight,Battery,2045,MISO,2112849.0,696734.0,4360304.0
20-week-foresight,Battery,2045,NE,21394700.666666668,17845271.0,27000249.0
20-week-foresight,Battery,2045,PJM,10849229.666666666,5584800.0,13709066.0
20-week-foresight,Battery,2045,SOU,1249685.0,537801.0,2132284.0
20-week-foresight,Battery,2045,SPP,250139.0,17.0,500261.0
