case,tech_type,planning_year,agg_zone,end_value,min,max
20-week-foresight,Battery,2027,CA,26.0,,
20-week-foresight,Battery,2027,MISO,71.0,,
20-week-foresight,Battery,2027,NE,46.5,,
20-week-foresight,Battery,2027,PJM,59.5,,
20-week-foresight,Battery,2027,SOU,46.0,,
20-week-foresight,Battery,2027,SPP,44.5,,
20-week-foresight,Battery,2027,TRE,28.5,,
20-week-foresight,Battery,2027,WECC,61.0,,
20-week-foresight,CCS,2027,CA,5.0,,
20-week-foresight,CCS,2027,MISO,13.5,,
20-week-foresight,CCS,2027,NE,,,
20-week-foresight,CCS,2027,PJM,5.5,,
20-week-foresight,CCS,2027,SOU,7.5,,
20-week-foresight,CCS,2027,SPP,7.5,,
20-week-foresight,CCS,2027,TRE,5.0,,
20-week-foresight,CCS,2027,WECC,6.5,,
20-week-foresight,Hydrogen,2027,CA,6.0,,
20-week-foresight,Hydrogen,2027,MISO,17.5,,
20-week-foresight,Hydrogen,2027,NE,13.0,,
20-week-foresight,Hydrogen,2027,PJM,13.0,,
20-week-foresight,Hydrogen,2027,SOU,12.0,,
20-week-foresight,Hydrogen,2027,SPP,11.5,,
20-week-foresight,Hydrogen,2027,TRE,8.0,,
20-week-foresight,Hydrogen,2027,WECC,16.0,,
20-week-foresight,Natural Gas CC,2027,CA,7.0,,
20-week-foresight,Natural Gas CC,2027,MISO,27.0,,
20-week-foresight,Natural Gas CC,2027,NE,2390.7,,
20-week-foresight,Natural Gas CC,2027,PJM,21.0,,
20-week-foresight,Natural Gas CC,2027,SOU,12.5,,
20-week-foresight,Natural Gas CC,2027,SPP,13.0,,
20-week-foresight,Natural Gas CC,2027,TRE,10.0,,
20-week-foresight,Natural Gas CC,2027,WECC,19.5,,
20-week-foresight,Natural Gas CT,2027,CA,4.0,,
20-week-foresight,Natural Gas CT,2027,MISO,10.5,,
20-week-foresight,Natural Gas CT,2027,NE,9.5,,
20-week-foresight,Natural Gas CT,2027,PJM,8.5,,
20-week-foresight,Natural Gas CT,2027,SOU,6.0,,
20-week-foresight,Natural Gas CT,2027,SPP,6.0,,
20-week-foresight,Natural Gas CT,2027,TRE,4.5,,
20-week-foresight,Natural Gas CT,2027,WECC,9.0,,
20-week-foresight,Nuclear,2027,CA,2.0,,
20-week-foresight,Nuclear,2027,MISO,5.0,,
20-week-foresight,Nuclear,2027,NE,3.0,,
20-week-foresight,Nuclear,2027,PJM,4.0,,
20-week-foresight,Nuclear,2027,SOU,3.0,,
20-week-foresight,Nuclear,2027,SPP,3.0,,
20-week-foresight,Nuclear,2027,TRE,2.0,,
20-week-foresight,Nuclear,2027,WECC,4.0,,
20-week-foresight,Solar,2027,CA,246.5,,
20-week-foresight,Solar,2027,MISO,616.0,,
20-week-foresight,Solar,2027,NE,154.0,,
20-week-foresight,Solar,2027,PJM,524.0,,
20-week-foresight,Solar,2027,SOU,457.0,,
20-week-foresight,Solar,2027,SPP,422.5,,
20-week-foresight,Solar,2027,TRE,145.5,,
20-week-foresight,Solar,2027,WECC,662.5,,
20-week-foresight,Wind,2027,CA,175.5,,
20-week-foresight,Wind,2027,MISO,35302.7,,
20-week-foresight,Wind,2027,NE,2055.3,,
20-week-foresight,Wind,2027,PJM,11139.0,,
20-week-foresight,Wind,2027,SOU,4713.7,,
20-week-foresight,Wind,2027,SPP,22610.0,,
20-week-foresight,Wind,2027,TRE,19896.0,,
20-week-foresight,Wind,2027,WECC,24535.3,,
20-week-foresight,Battery,2030,CA,12.0,,
20-week-foresight,Battery,2030,MISO,34.0,,
20-week-foresight,Battery,2030,NE,74.7,,
20-week-foresight,Battery,2030,PJM,23.0,,
20-week-foresight,Battery,2030,SOU,15.5,,
20-week-foresight,Battery,2030,SPP,18.0,,
20-week-foresight,Battery,2030,TRE,11.0,,
20-week-foresight,Battery,2030,WECC,21.0,,
20-week-foresight,CCS,2030,CA,5604.0,,
20-week-foresight,CCS,2030,MISO,21863.3,,
20-week-foresight,CCS,2030,NE,,,
20-week-foresight,CCS,2030,PJM,23199.7,,
20-week-foresight,CCS,2030,SOU,26464.3,,
20-week-foresight,CCS,2030,SPP,35.0,,
20-week-foresight,CCS,2030,TRE,4008.7,,
20-week-foresight,CCS,2030,WECC,25.5,,
20-week-foresight,Hydrogen,2030,CA,2.5,,
20-week-foresight,Hydrogen,2030,MISO,6.0,,
20-week-foresight,Hydrogen,2030,NE,5.0,,
20-week-foresight,Hydrogen,2030,PJM,5.0,,
20-week-foresight,Hydrogen,2030,SOU,3.0,,
20-week-foresight,Hydrogen,2030,SPP,3.5,,
20-week-foresight,Hydrogen,2030,TRE,2.0,,
20-week-foresight,Hydrogen,2030,WECC,4.0,,
20-week-foresight,Natural Gas CC,2030,CA,0.5,,
20-week-foresight,Natural Gas CC,2030,MISO,0.0,,
20-week-foresight,Natural Gas CC,2030,NE,852.7,,
20-week-foresight,Natural Gas CC,2030,PJM,0.0,,
20-week-foresight,Natural Gas CC,2030,SOU,0.5,,
20-week-foresight,Natural Gas CC,2030,SPP,1.5,,
20-week-foresight,Natural Gas CC,2030,TRE,0.5,,
20-week-foresight,Natural Gas CC,2030,WECC,0.5,,
20-week-foresight,Natural Gas CT,2030,CA,0.0,,
20-week-foresight,Natural Gas CT,2030,MISO,2.0,,
20-week-foresight,Natural Gas CT,2030,NE,1.5,,
20-week-foresight,Natural Gas CT,2030,PJM,1.0,,
20-week-foresight,Natural Gas CT,2030,SOU,1.5,,
20-week-foresight,Natural Gas CT,2030,SPP,1.5,,
20-week-foresight,Natural Gas CT,2030,TRE,0.5,,
20-week-foresight,Natural Gas CT,2030,WECC,1.0,,
20-week-foresight,Nuclear,2030,CA,1.0,,
20-week-foresight,Nuclear,2030,MISO,2.5,,
20-week-foresight,Nuclear,2030,NE,1.5,,
20-week-foresight,Nuclear,2030,PJM,3.0,,
20-week-foresight,Nuclear,2030,SOU,3.0,,
20-week-foresight,Nuclear,2030,SPP,1.5,,
20-week-foresight,Nuclear,2030,TRE,1.0,,
20-week-foresight,Nuclear,2030,WECC,2.5,,
20-week-foresight,Solar,2030,CA,13289.0,,
20-week-foresight,Solar,2030,MISO,35425.0,,
20-week-foresight,Solar,2030,NE,4575.3,,
20-week-foresight,Solar,2030,PJM,46017.7,,
20-week-foresight,Solar,2030,SOU,33947.0,,
20-week-foresight,Solar,2030,SPP,7030.0,,
20-week-foresight,Solar,2030,TRE,267.5,,
20-week-foresight,Solar,2030,WECC,5679.3,,
20-week-foresight,Wind,2030,CA,1235.7,,
20-week-foresight,Wind,2030,MISO,53673.0,,
20-week-foresight,Wind,2030,NE,25602.0,,
20-week-foresight,Wind,2030,PJM,20792.0,,
20-week-foresight,Wind,2030,SOU,21886.3,,
20-week-foresight,Wind,2030,SPP,42911.3,,
20-week-foresight,Wind,2030,TRE,35021.0,,
20-week-foresight,Wind,2030,WECC,55590.3,,
20-week-foresight,Battery,2035,CA,83.5,,
20-week-foresight,Battery,2035,MISO,168.0,,
20-week-foresight,Battery,2035,NE,1567.7,,
20-week-foresight,Battery,2035,PJM,384.3,,
20-week-foresight,Battery,2035,SOU,102.5,,
20-week-foresight,Battery,2035,SPP,99.5,,
20-week-foresight,Battery,2035,TRE,58.5,,
20-week-foresight,Battery,2035,WECC,164.5,,
20-week-foresight,CCS,2035,CA,7482.7,,
20-week-foresight,CCS,2035,MISO,24330.7,,
20-week-foresight,CCS,2035,NE,,,
20-week-foresight,CCS,2035,PJM,19560.7,,
20-week-foresight,CCS,2035,SOU,16361.0,,
20-week-foresight,CCS,2035,SPP,700.7,,
20-week-foresight,CCS,2035,TRE,15902.3,,
20-week-foresight,CCS,2035,WECC,391.7,,
20-week-foresight,Hydrogen,2035,CA,11.0,,
20-week-foresight,Hydrogen,2035,MISO,32.5,,
20-week-foresight,Hydrogen,2035,NE,35.0,,
20-week-foresight,Hydrogen,2035,PJM,25.0,,
20-week-foresight,Hydrogen,2035,SOU,21.0,,
20-week-foresight,Hydrogen,2035,SPP,21.0,,
20-week-foresight,Hydrogen,2035,TRE,15.0,,
20-week-foresight,Hydrogen,2035,WECC,31.5,,
20-week-foresight,Natural Gas CC,2035,CA,8.0,,
20-week-foresight,Natural Gas CC,2035,MISO,24.5,,
20-week-foresight,Natural Gas CC,2035,NE,8414.7,,
20-week-foresight,Natural Gas CC,2035,PJM,21.0,,
20-week-foresight,Natural Gas CC,2035,SOU,13.5,,
20-week-foresight,Natural Gas CC,2035,SPP,13.0,,
20-week-foresight,Natural Gas CC,2035,TRE,9.0,,
20-week-foresight,Natural Gas CC,2035,WECC,21.5,,
20-week-foresight,Natural Gas CT,2035,CA,6.0,,
20-week-foresight,Natural Gas CT,2035,MISO,18.5,,
