case,tech_type,planning_year,agg_zone,end_value,min,max
20-week-foresight,Battery,2027,CA,45.0,,
20-week-foresight,Battery,2027,MISO,116.0,,
20-week-foresight,Battery,2027,NE,71.5,,
20-week-foresight,Battery,2027,PJM,94.5,,
20-week-foresight,Battery,2027,SOU,73.0,,
20-week-foresight,Battery,2027,SPP,71.0,,
20-week-foresight,Battery,2027,TRE,46.5,,
20-week-foresight,Battery,2027,WECC,94.0,,
20-week-foresight,CCS,2027,CA,8.0,,
20-week-foresight,CCS,2027,MISO,23.5,,
20-week-foresight,CCS,2027,NE,,,
20-week-foresight,CCS,2027,PJM,9.5,,
20-week-foresight,CCS,2027,SOU,12.5,,
20-week-foresight,CCS,2027,SPP,13.0,,
20-week-foresight,CCS,2027,TRE,8.5,,
20-week-foresight,CCS,2027,WECC,11.5,,
20-week-foresight,Hydrogen,2027,CA,12.0,,
20-week-foresight,Hydrogen,2027,MISO,32.0,,
20-week-foresight,Hydrogen,2027,NE,23.5,,
20-week-foresight,Hydrogen,2027,PJM,24.5,,
20-week-foresight,Hydrogen,2027,SOU,21.0,,
20-week-foresight,Hydrogen,2027,SPP,20.5,,
20-week-foresight,Hydrogen,2027,TRE,14.0,,
20-week-foresight,Hydrogen,2027,WECC,27.0,,
20-week-foresight,Natural Gas CC,2027,CA,12.0,,
20-week-foresight,Natural Gas CC,2027,MISO,42.0,,
20-week-foresight,Natural Gas CC,2027,NE,1388.7,,
20-week-foresight,Natural Gas CC,2027,PJM,32.5,,
20-week-foresight,Natural Gas CC,2027,SOU,21.0,,
20-week-foresight,Natural Gas CC,2027,SPP,22.0,,
20-week-foresight,Natural Gas CC,2027,TRE,16.0,,
20-week-foresight,Natural Gas CC,2027,WECC,32.5,,
20-week-foresight,Natural Gas CT,2027,CA,7.0,,
20-week-foresight,Natural Gas CT,2027,MISO,20.0,,
20-week-foresight,Natural Gas CT,2027,NE,15.5,,
20-week-foresight,Natural Gas CT,2027,PJM,15.0,,
20-week-foresight,Natural Gas CT,2027,SOU,12.0,,
20-week-foresight,Natural Gas CT,2027,SPP,12.0,,
20-week-foresight,Natural Gas CT,2027,TRE,8.0,,
20-week-foresight,Natural Gas CT,2027,WECC,16.0,,
20-week-foresight,Nuclear,2027,CA,3.0,,
20-week-foresight,Nuclear,2027,MISO,8.0,,
20-week-foresight,Nuclear,2027,NE,4.0,,
20-week-foresight,Nuclear,2027,PJM,6.5,,
20-week-foresight,Nuclear,2027,SOU,5.0,,
20-week-foresight,Nuclear,2027,SPP,4.5,,
20-week-foresight,Nuclear,2027,TRE,3.5,,
20-week-foresight,Nuclear,2027,WECC,7.0,,
20-week-foresight,Solar,2027,CA,275.5,,
20-week-foresight,Solar,2027,MISO,687.5,,
20-week-foresight,Solar,2027,NE,176.0,,
20-week-foresight,Solar,2027,PJM,586.5,,
20-week-foresight,Solar,2027,SOU,506.5,,
20-week-foresight,Solar,2027,SPP,474.0,,
20-week-foresight,Solar,2027,TRE,168.5,,
20-week-foresight,Solar,2027,WECC,750.0,,
20-week-foresight,Wind,2027,CA,206.5,,
20-week-foresight,Wind,2027,MISO,38231.7,,
20-week-foresight,Wind,2027,NE,4093.0,,
20-week-foresight,Wind,2027,PJM,12560.3,,
20-week-foresight,Wind,2027,SOU,5469.0,,
20-week-foresight,Wind,2027,SPP,24915.0,,
20-week-foresight,Wind,2027,TRE,21082.7,,
20-week-foresight,Wind,2027,WECC,26289.3,,
20-week-foresight,Battery,2030,CA,7.0,,
20-week-foresight,Battery,2030,MISO,39.5,,
20-week-foresight,Battery,2030,NE,30.0,,
20-week-foresight,Battery,2030,PJM,29.5,,
20-week-foresight,Battery,2030,SOU,19.5,,
20-week-foresight,Battery,2030,SPP,19.0,,
20-week-foresight,Battery,2030,TRE,13.5,,
20-week-foresight,Battery,2030,WECC,25.0,,
20-week-foresight,CCS,2030,CA,6791.7,,
20-week-foresight,CCS,2030,MISO,30788.7,,
20-week-foresight,CCS,2030,NE,,,
20-week-foresight,CCS,2030,PJM,26528.7,,
20-week-foresight,CCS,2030,SOU,33320.7,,
20-week-foresight,CCS,2030,SPP,65.5,,
20-week-foresight,CCS,2030,TRE,6456.0,,
20-week-foresight,CCS,2030,WECC,289.0,,
20-week-foresight,Hydrogen,2030,CA,2.5,,
20-week-foresight,Hydrogen,2030,MISO,6.5,,
20-week-foresight,Hydrogen,2030,NE,2487.0,,
20-week-foresight,Hydrogen,2030,PJM,4.0,,
20-week-foresight,Hydrogen,2030,SOU,3.0,,
20-week-foresight,Hydrogen,2030,SPP,29.0,,
20-week-foresight,Hydrogen,2030,TRE,2.5,,
20-week-foresight,Hydrogen,2030,WECC,684.7,,
20-week-foresight,Natural Gas CC,2030,CA,0.0,,
20-week-foresight,Natural Gas CC,2030,MISO,0.0,,
20-week-foresight,Natural Gas CC,2030,NE,272.7,,
20-week-foresight,Natural Gas CC,2030,PJM,0.0,,
20-week-foresight,Natural Gas CC,2030,SOU,0.5,,
20-week-foresight,Natural Gas CC,2030,SPP,1.0,,
20-week-foresight,Natural Gas CC,2030,TRE,0.5,,
20-week-foresight,Natural Gas CC,2030,WECC,0.5,,
20-week-foresight,Natural Gas CT,2030,CA,0.0,,
20-week-foresight,Natural Gas CT,2030,MISO,0.0,,
20-week-foresight,Natural Gas CT,2030,NE,1.5,,
20-week-foresight,Natural Gas CT,2030,PJM,0.5,,
20-week-foresight,Natural Gas CT,2030,SOU,0.0,,
20-week-foresight,Natural Gas CT,2030,SPP,0.0,,
20-week-foresight,Natural Gas CT,2030,TRE,0.0,,
20-week-foresight,Natural Gas CT,2030,WECC,1.0,,
20-week-foresight,Nuclear,2030,CA,1.5,,
20-week-foresight,Nuclear,2030,MISO,4.5,,
20-week-foresight,Nuclear,2030,NE,4.0,,
