case,tech_type,planning_year,value,min,max
full-base-1000,Battery,2027,6968627.0,6331407.0,7704971.0
full-base-1000,Battery,2030,22637809.0,20134040.0,27148371.0
full-base-1000,Battery,2035,27409463.25,24705982.0,31278440.0
full-base-1000,Battery,2040,37478736.25,27181303.0,49139794.0
full-base-1000,Battery,2045,164122169.75,141044210.0,184972920.0
full-base-1000,Battery,2050,296079074.0,264167072.0,320646124.0
full-base-1000,CCS,2027,21811.5,8586.0,35037.0
full-base-1000,CCS,2030,442613889.75,427077000.0,450291509.0
full-base-1000,CCS,2035,910470385.25,882323002.0,931198124.0
full-base-1000,CCS,2040,1164076843.5,1120953827.0,1183224974.0
full-base-1000,CCS,2045,1298882228.0,1261385973.0,1314337789.0
full-base-1000,CCS,2050,1157569356.25,1109155760.0,1179761260.0
full-base-1000,Coal,2027,227284687.75,224713637.0,230108943.0
full-base-1000,Coal,2030,24266.25,6352.0,53755.0
full-base-1000,Coal,2035,48368.0,31188.0,61071.0
full-base-1000,Coal,2040,37654.25,27023.0,49097.0
full-base-1000,Coal,2045,15339.0,3402.0,32164.0
full-base-1000,Coal,2050,11682.0,1677.0,18871.0
full-base-1000,Distributed Solar,2027,92811049.75,92383316.0,93181714.0
full-base-1000,Distributed Solar,2030,136951711.75,135350467.0,139917266.0
full-base-1000,Distributed Solar,2035,178750346.5,176296850.0,182567265.0
full-base-1000,Distributed Solar,2040,188575580.75,181785176.0,195076234.0
full-base-1000,Distributed Solar,2045,195181396.25,189004797.0,201393396.0
full-base-1000,Distributed Solar,2050,206774642.25,195433332.0,215514348.0
full-base-1000,Geothermal,2027,6228998.0,5896639.0,7212377.0
full-base-1000,Geothermal,2030,5371238.5,4872350.0,6256669.0
full-base-1000,Geothermal,2035,5016731.25,4457499.0,5873614.0
full-base-1000,Geothermal,2040,3086021.5,2844522.0,3476928.0
full-base-1000,Geothermal,2045,1691377.25,1524504.0,1895712.0
full-base-1000,Geothermal,2050,643852.0,359940.0,873600.0
full-base-1000,Hydro,2027,267767599.0,250645928.0,273628622.0
full-base-1000,Hydro,2030,297389112.0,285571892.0,302673130.0
full-base-1000,Hydro,2035,300652915.5,290368754.0,304902005.0
full-base-1000,Hydro,2040,294657311.0,284396628.0,299281910.0
full-base-1000,Hydro,2045,277307290.75,268286164.0,281454765.0
full-base-1000,Hydro,2050,264518082.75,257387001.0,267975520.0
full-base-1000,Hydrogen,2027,7199.5,5089.0,9310.0
full-base-1000,Hydrogen,2030,46261.5,23260.0,69263.0
full-base-1000,Hydrogen,2035,21946.75,25.0,45325.0
full-base-1000,Hydrogen,2040,8372995.0,4293272.0,11035646.0
full-base-1000,Hydrogen,2045,57195635.0,47639041.0,62805944.0
full-base-1000,Hydrogen,2050,71545620.25,64683358.0,75661261.0
full-base-1000,Natural Gas CC,2027,1658753199.75,1652093014.0,1663937036.0
full-base-1000,Natural Gas CC,2030,457637672.0,456787720.0,459243185.0
full-base-1000,Natural Gas CC,2035,294175392.75,292788995.0,295457870.0
full-base-1000,Natural Gas CC,2040,169165641.5,168469137.0,169808128.0
full-base-1000,Natural Gas CC,2045,52315075.5,51751460.0,53580120.0
full-base-1000,Natural Gas CC,2050,17957903.0,17057029.0,18672418.0
full-base-1000,Natural Gas CT,2027,5969274.0,5845240.0,6194694.0
full-base-1000,Natural Gas CT,2030,2681685.25,2471411.0,2869595.0
full-base-1000,Natural Gas CT,2035,2365843.5,2098956.0,2655272.0
full-base-1000,Natural Gas CT,2040,2012345.0,1798236.0,2244751.0
full-base-1000,Natural Gas CT,2045,300094.0,230114.0,358174.0
full-base-1000,Natural Gas CT,2050,61237.75,15499.0,115299.0
full-base-1000,Nuclear,2027,837214719.5,836845046.0,837832110.0
full-base-1000,Nuclear,2030,739535504.5,738295932.0,740217020.0
full-base-1000,Nuclear,2035,734625899.5,733605495.0,735649190.0
full-base-1000,Nuclear,2040,725984100.0,724932088.0,726902545.0
full-base-1000,Nuclear,2045,718597649.5,717152899.0,720303351.0
full-base-1000,Nuclear,2050,666650066.5,665245510.0,669128732.0
