model,line_name,planning_year,case,unit,value
SWITCH,PJMC_to_MISC,2027,current_policies_20_week,MW,0.0
SWITCH,PJMC_to_PJMW,2027,current_policies_20_week,MW,0.0
SWITCH,PJMC_to_MISW,2027,current_policies_20_week,MW,0.0
SWITCH,PJME_to_NYUP,2027,current_policies_20_week,MW,1669.3427900000002
SWITCH,PJME_to_PJMW,2027,current_policies_20_week,MW,0.0
SWITCH,PJME_to_NYCW,2027,current_policies_20_week,MW,0.0
SWITCH,PJME_to_PJMD,2027,current_policies_20_week,MW,0.0
SWITCH,MISE_to_MISC,2027,current_policies_20_week,MW,0.0
SWITCH,MISE_to_PJMW,2027,current_policies_20_week,MW,0.0
SWITCH,MISE_to_MISW,2027,current_policies_20_week,MW,0.0
SWITCH,ISNE_to_NYUP,2027,current_policies_20_week,MW,828.3481900000002
SWITCH,ISNE_to_NYCW,2027,current_policies_20_week,MW,0.0
SWITCH,MISC_to_SPPC,2027,current_policies_20_week,MW,0.0
SWITCH,MISC_to_PJMW,2027,current_policies_20_week,MW,0.0
SWITCH,MISC_to_SRCE,2027,current_policies_20_week,MW,0.0
SWITCH,MISC_to_SPPS,2027,current_policies_20_week,MW,0.0
SWITCH,MISC_to_MISS,2027,current_policies_20_week,MW,0.0
SWITCH,MISC_to_SPPN,2027,current_policies_20_week,MW,0.0
SWITCH,MISC_to_MISW,2027,current_policies_20_week,MW,0.0
SWITCH,CANO_to_BASN,2027,current_policies_20_week,MW,0.0
SWITCH,CANO_to_CASO,2027,current_policies_20_week,MW,0.0
SWITCH,CANO_to_NWPP,2027,current_policies_20_week,MW,0.0
SWITCH,TREW_to_TRE,2027,current_policies_20_week,MW,0.0
SWITCH,TREW_to_SPPS,2027,current_policies_20_week,MW,821.45874
SWITCH,SPPC_to_SPPS,2027,current_policies_20_week,MW,0.0
SWITCH,SPPC_to_MISS,2027,current_policies_20_week,MW,0.0
SWITCH,SPPC_to_SPPN,2027,current_policies_20_week,MW,0.0
SWITCH,SPPC_to_MISW,2027,current_policies_20_week,MW,0.0
SWITCH,FRCC_to_SRSE,2027,current_policies_20_week,MW,0.0
SWITCH,TRE_to_SPPS,2027,current_policies_20_week,MW,0.0
SWITCH,SRCA_to_PJMW,2027,current_policies_20_week,MW,0.0
SWITCH,SRCA_to_SRCE,2027,current_policies_20_week,MW,0.0
SWITCH,SRCA_to_PJMD,2027,current_policies_20_week,MW,0.0
SWITCH,SRCA_to_SRSE,2027,current_policies_20_week,MW,0.0
SWITCH,NYUP_to_NYCW,2027,current_policies_20_week,MW,3730.61632
SWITCH,PJMW_to_SRCE,2027,current_policies_20_week,MW,0.0
SWITCH,PJMW_to_PJMD,2027,current_policies_20_week,MW,0.0
SWITCH,BASN_to_RMRG,2027,current_policies_20_week,MW,0.0
SWITCH,BASN_to_CASO,2027,current_policies_20_week,MW,0.0
SWITCH,BASN_to_NWPP,2027,current_policies_20_week,MW,0.0
SWITCH,BASN_to_SRSG,2027,current_policies_20_week,MW,0.0
SWITCH,SRCE_to_MISS,2027,current_policies_20_week,MW,0.0
SWITCH,SRCE_to_SRSE,2027,current_policies_20_week,MW,0.0
SWITCH,SPPS_to_MISS,2027,current_policies_20_week,MW,0.0
SWITCH,SPPS_to_SRSG,2027,current_policies_20_week,MW,0.0
SWITCH,SPPS_to_SPPN,2027,current_policies_20_week,MW,0.0
SWITCH,RMRG_to_NWPP,2027,current_policies_20_week,MW,0.0
SWITCH,RMRG_to_SRSG,2027,current_policies_20_week,MW,0.0
SWITCH,MISS_to_SRSE,2027,current_policies_20_week,MW,0.0
SWITCH,CASO_to_NWPP,2027,current_policies_20_week,MW,0.0
SWITCH,CASO_to_SRSG,2027,current_policies_20_week,MW,0.0
SWITCH,SPPN_to_MISW,2027,current_policies_20_week,MW,0.0
SWITCH,NWPP_to_SPPN,2027,current_policies_20_week,MW,0.0
SWITCH,NWPP_to_MISW,2027,current_policies_20_week,MW,0.0
SWITCH,RMRG_to_SPPN,2027,current_policies_20_week,MW,0.0
SWITCH,RMRG_to_SPPC,2027,current_policies_20_week,MW,0.0
SWITCH,SRSG_to_TRE,2027,current_policies_20_week,MW,0.0
SWITCH,PJMC_to_MISC,2030,current_policies_20_week,MW,0.0
SWITCH,PJMC_to_PJMW,2030,current_policies_20_week,MW,0.0
SWITCH,PJMC_to_MISW,2030,current_policies_20_week,MW,0.0
SWITCH,PJME_to_NYUP,2030,current_policies_20_week,MW,1579.4181899999999
SWITCH,PJME_to_PJMW,2030,current_policies_20_week,MW,0.0
SWITCH,PJME_to_NYCW,2030,current_policies_20_week,MW,7.305560000000014
SWITCH,PJME_to_PJMD,2030,current_policies_20_week,MW,0.0
SWITCH,MISE_to_MISC,2030,current_policies_20_week,MW,0.0
SWITCH,MISE_to_PJMW,2030,current_policies_20_week,MW,0.0
SWITCH,MISE_to_MISW,2030,current_policies_20_week,MW,0.0
SWITCH,ISNE_to_NYUP,2030,current_policies_20_week,MW,2465.8019
SWITCH,ISNE_to_NYCW,2030,current_policies_20_week,MW,0.0
SWITCH,MISC_to_SPPC,2030,current_policies_20_week,MW,0.0
SWITCH,MISC_to_PJMW,2030,current_policies_20_week,MW,0.0
SWITCH,MISC_to_SRCE,2030,current_policies_20_week,MW,0.0
