case,tech_type,planning_year,agg_zone,end_value,min,max
full-base-200,Battery,2027,CA,2.0,,
full-base-200,Battery,2027,MISO,5.0,,
full-base-200,Battery,2027,NE,4.0,,
full-base-200,Battery,2027,PJM,4.0,,
full-base-200,Battery,2027,SOU,3.0,,
full-base-200,Battery,2027,SPP,4.0,,
full-base-200,Battery,2027,TRE,2.0,,
full-base-200,Battery,2027,WECC,5.0,,
full-base-200,CCS,2027,CA,0.0,,
full-base-200,CCS,2027,MISO,0.0,,
full-base-200,CCS,2027,NE,,,
full-base-200,CCS,2027,PJM,0.0,,
full-base-200,CCS,2027,SOU,0.0,,
full-base-200,CCS,2027,SPP,0.0,,
full-base-200,CCS,2027,TRE,0.0,,
full-base-200,CCS,2027,WECC,0.0,,
full-base-200,Hydrogen,2027,CA,0.0,,
full-base-200,Hydrogen,2027,MISO,0.0,,
full-base-200,Hydrogen,2027,NE,1.0,,
full-base-200,Hydrogen,2027,PJM,0.0,,
full-base-200,Hydrogen,2027,SOU,0.0,,
full-base-200,Hydrogen,2027,SPP,0.0,,
full-base-200,Hydrogen,2027,TRE,0.0,,
full-base-200,Hydrogen,2027,WECC,0.0,,
full-base-200,Natural Gas CC,2027,CA,2.0,,
full-base-200,Natural Gas CC,2027,MISO,14.0,,
full-base-200,Natural Gas CC,2027,NE,1415.0,,
full-base-200,Natural Gas CC,2027,PJM,5.0,,
full-base-200,Natural Gas CC,2027,SOU,4.0,,
full-base-200,Natural Gas CC,2027,SPP,3.0,,
full-base-200,Natural Gas CC,2027,TRE,3.0,,
full-base-200,Natural Gas CC,2027,WECC,4.0,,
full-base-200,Natural Gas CT,2027,CA,0.0,,
full-base-200,Natural Gas CT,2027,MISO,1.0,,
full-base-200,Natural Gas CT,2027,NE,1.0,,
full-base-200,Natural Gas CT,2027,PJM,3.0,,
full-base-200,Natural Gas CT,2027,SOU,1.0,,
full-base-200,Natural Gas CT,2027,SPP,2.0,,
full-base-200,Natural Gas CT,2027,TRE,2.0,,
full-base-200,Natural Gas CT,2027,WECC,3.0,,
full-base-200,Nuclear,2027,CA,0.0,,
full-base-200,Nuclear,2027,MISO,0.0,,
full-base-200,Nuclear,2027,NE,0.0,,
full-base-200,Nuclear,2027,PJM,0.0,,
full-base-200,Nuclear,2027,SOU,0.0,,
full-base-200,Nuclear,2027,SPP,0.0,,
full-base-200,Nuclear,2027,TRE,0.0,,
full-base-200,Nuclear,2027,WECC,0.0,,
full-base-200,Solar,2027,CA,11.0,,
full-base-200,Solar,2027,MISO,29.0,,
full-base-200,Solar,2027,NE,0.0,,
full-base-200,Solar,2027,PJM,10.0,,
full-base-200,Solar,2027,SOU,18.0,,
full-base-200,Solar,2027,SPP,17.0,,
full-base-200,Solar,2027,TRE,0.0,,
full-base-200,Solar,2027,WECC,57.5,,
full-base-200,Wind,2027,CA,1.0,,
full-base-200,Wind,2027,MISO,43441.5,,
full-base-200,Wind,2027,NE,2173.8,,
full-base-200,Wind,2027,PJM,10672.0,,
full-base-200,Wind,2027,SOU,1448.2,,
full-base-200,Wind,2027,SPP,14640.0,,
full-base-200,Wind,2027,TRE,18486.5,,
full-base-200,Wind,2027,WECC,26879.2,,
full-base-200,Battery,2030,CA,39.0,,
full-base-200,Battery,2030,MISO,110.0,,
full-base-200,Battery,2030,NE,66.0,,
full-base-200,Battery,2030,PJM,83.0,,
full-base-200,Battery,2030,SOU,60.0,,
full-base-200,Battery,2030,SPP,72.0,,
full-base-200,Battery,2030,TRE,47.0,,
full-base-200,Battery,2030,WECC,94.0,,
full-base-200,CCS,2030,CA,5645.8,,
full-base-200,CCS,2030,MISO,13260.8,,
full-base-200,CCS,2030,NE,,,
full-base-200,CCS,2030,PJM,18738.5,,
full-base-200,CCS,2030,SOU,28501.5,,
full-base-200,CCS,2030,SPP,63.0,,
full-base-200,CCS,2030,TRE,8519.5,,
full-base-200,CCS,2030,WECC,46.0,,
full-base-200,Hydrogen,2030,CA,21.0,,
full-base-200,Hydrogen,2030,MISO,59.0,,
full-base-200,Hydrogen,2030,NE,38.0,,
full-base-200,Hydrogen,2030,PJM,44.0,,
full-base-200,Hydrogen,2030,SOU,36.0,,
full-base-200,Hydrogen,2030,SPP,36.0,,
full-base-200,Hydrogen,2030,TRE,26.0,,
full-base-200,Hydrogen,2030,WECC,49.0,,
full-base-200,Natural Gas CC,2030,CA,15.0,,
full-base-200,Natural Gas CC,2030,MISO,44.0,,
full-base-200,Natural Gas CC,2030,NE,1013.0,,
full-base-200,Natural Gas CC,2030,PJM,39.0,,
full-base-200,Natural Gas CC,2030,SOU,28.0,,
full-base-200,Natural Gas CC,2030,SPP,28.0,,
full-base-200,Natural Gas CC,2030,TRE,23.0,,
full-base-200,Natural Gas CC,2030,WECC,38.0,,
full-base-200,Natural Gas CT,2030,CA,11.0,,
full-base-200,Natural Gas CT,2030,MISO,30.0,,
full-base-200,Natural Gas CT,2030,NE,20.0,,
full-base-200,Natural Gas CT,2030,PJM,20.0,,
full-base-200,Natural Gas CT,2030,SOU,20.0,,
full-base-200,Natural Gas CT,2030,SPP,18.0,,
full-base-200,Natural Gas CT,2030,TRE,12.0,,
full-base-200,Natural Gas CT,2030,WECC,24.0,,
full-base-200,Nuclear,2030,CA,4.0,,
full-base-200,Nuclear,2030,MISO,13.0,,
full-base-200,Nuclear,2030,NE,8.0,,
full-base-200,Nuclear,2030,PJM,11.0,,
full-base-200,Nuclear,2030,SOU,10.0,,
full-base-200,Nuclear,2030,SPP,8.0,,
full-base-200,Nuclear,2030,TRE,6.0,,
full-base-200,Nuclear,2030,WECC,9.0,,
full-base-200,Solar,2030,CA,19848.5,,
full-base-200,Solar,2030,MISO,58045.2,,
full-base-200,Solar,2030,NE,10414.2,,
full-base-200,Solar,2030,PJM,62963.2,,
full-base-200,Solar,2030,SOU,52543.0,,
full-base-200,Solar,2030,SPP,12446.8,,
full-base-200,Solar,2030,TRE,9024.5,,
full-base-200,Solar,2030,WECC,22524.2,,
full-base-200,Wind,2030,CA,977.8,,
full-base-200,Wind,2030,MISO,55670.5,,
full-base-200,Wind,2030,NE,25820.8,,
full-base-200,Wind,2030,PJM,20027.0,,
full-base-200,Wind,2030,SOU,23914.2,,
full-base-200,Wind,2030,SPP,47142.0,,
full-base-200,Wind,2030,TRE,27093.8,,
full-base-200,Wind,2030,WECC,41944.0,,
full-base-200,Battery,2035,CA,5.3,,
full-base-200,Battery,2035,MISO,28.0,,
full-base-200,Battery,2035,NE,2918.8,,
full-base-200,Battery,2035,PJM,32.7,,
full-base-200,Battery,2035,SOU,25.7,,
full-base-200,Battery,2035,SPP,17.0,,
full-base-200,Battery,2035,TRE,8.7,,
full-base-200,Battery,2035,WECC,28.0,,
full-base-200,CCS,2035,CA,12143.0,,
full-base-200,CCS,2035,MISO,31215.8,,
full-base-200,CCS,2035,NE,,,
full-base-200,CCS,2035,PJM,27666.2,,
full-base-200,CCS,2035,SOU,18963.5,,
full-base-200,CCS,2035,SPP,25.7,,
full-base-200,CCS,2035,TRE,12407.8,,
full-base-200,CCS,2035,WECC,538.3,,
full-base-200,Hydrogen,2035,CA,-5.0,,
full-base-200,Hydrogen,2035,MISO,-18.5,,
full-base-200,Hydrogen,2035,NE,8.7,,
full-base-200,Hydrogen,2035,PJM,-11.5,,
full-base-200,Hydrogen,2035,SOU,-13.0,,
full-base-200,Hydrogen,2035,SPP,-12.0,,
full-base-200,Hydrogen,2035,TRE,-9.0,,
full-base-200,Hydrogen,2035,WECC,-14.0,,
full-base-200,Natural Gas CC,2035,CA,0.5,,
full-base-200,Natural Gas CC,2035,MISO,1.0,,
full-base-200,Natural Gas CC,2035,NE,8735.0,,
full-base-200,Natural Gas CC,2035,PJM,0.0,,
full-base-200,Natural Gas CC,2035,SOU,0.5,,
full-base-200,Natural Gas CC,2035,SPP,0.5,,
full-base-200,Natural Gas CC,2035,TRE,0.5,,
full-base-200,Natural Gas CC,2035,WECC,0.0,,
full-base-200,Natural Gas CT,2035,CA,-4.0,,
full-base-200,Natural Gas CT,2035,MISO,-10.5,,
full-base-200,Natural Gas CT,2035,NE,4.2,,
full-base-200,Natural Gas CT,2035,PJM,-5.5,,
full-base-200,Natural Gas CT,2035,SOU,-8.5,,
full-base-200,Natural Gas CT,2035,SPP,-7.0,,
full-base-200,Natural Gas CT,2035,TRE,-5.0,,
full-base-200,Natural Gas CT,2035,WECC,-9.0,,
full-base-200,Nuclear,2035,CA,0.0,,
full-base-200,Nuclear,2035,MISO,0.0,,
full-base-200,Nuclear,2035,NE,0.0,,
full-base-200,Nuclear,2035,PJM,0.0,,
full-base-200,Nuclear,2035,SOU,0.0,,
full-base-200,Nuclear,2035,SPP,0.5,,
full-base-200,Nuclear,2035,TRE,0.0,,
full-base-200,Nuclear,2035,WECC,0.5,,
full-base-200,Solar,2035,CA,9144.2,,
