Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,planning_year,model,percent_total,case
cFix,63164160874.9,2.24124861869e9,9.0885655796e8,8.3869682022e8,1.7484419367799995e9,1.8274903890199997e9,4.122219405320001e9,1.4281735912699997e9,2.4003367338699994e9,3.519851625969999e9,2.39781919541e9,1.0490481847999999e8,1.39042560534e9,2.49367468829e9,1.21656542801e9,4.054115041559999e9,4.42827235248e9,2.1657183826e9,1.3220681141000006e9,1.7037684278500001e9,2.2525811907299995e9,4.3178552911e9,4.2755735628799996e9,3.08768254211e9,2.5673231854800005e9,5.26652994042e9,1.08396742896e9,2027,GenX,0.2,full-base-200
cVar,50952917501.7,1.2836088551123168e9,1.690108924664888e9,1.7325016091959062e9,6.276918976662553e9,2.0630793833163497e9,1.6056019811056259e9,1.727720502844363e9,3.653704545257076e9,2.1071600387985275e9,1.0418859291365998e9,7.26784404400468e8,1.1134467196252632e9,1.76024864791044e9,1.7267371514695039e9,5.654990678646657e9,5.277157121961195e9,3.763234890274398e8,6.186308923212911e8,2.860862960164319e8,1.194388966972615e9,3.382948993111244e9,2.8577343964143133e9,4.647189622451321e9,1.791142009758776e9,4.644209077283431e9,4.884755205672431e8,2027,GenX,0.2,full-base-200
cNSE,106442503.0,11631.4509867669,11851.744584249358,11923.661956531883,11517.703742193102,9.563723636687237e7,11378.76520631408,11557.991671148076,11379.981395580224,11090.224696406513,11737.84417120605,1.0528708728616094e7,11920.378730115885,11695.80845460156,11703.891299443185,11469.571831557887,10816.241335648063,11197.652472515303,11376.453865189034,11413.495388274792,11229.738022674455,11281.295159134606,11586.013799835893,11600.276235187966,11691.121202865232,11576.562208334184,11930.080829984789,2027,GenX,0.0,full-base-200
cStart,629359968.8,4.421953010774859e6,1.794283847363944e6,3.026502431186094e6,6.5458990449119015e6,7.577092662390228e6,4.872534301223574e7,9.416403385582043e6,9.62140159439511e6,9.911975576405664e7,891086.5776273317,4.243453062527972e6,829026.3154771937,1.668242400933711e7,2.7499656539257276e6,2.52391596474463e7,3.739229670195087e7,1.0652191203305013e7,2.7943735222733855e7,1.7218603245291583e7,4.81167482633725e7,1.9256771319442354e7,9.382169997889016e6,8.636598818298634e6,5.641294593411588e6,1.8636690498950696e8,1.7868904442668147e7,2027,GenX,0.0,full-base-200
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,GenX,0.0,full-base-200
cNetworkExp,366012524.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,GenX,0.0,full-base-200
cVOM,8775867232.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2027,GenX,0.0,full-base-200
cCO2,174066461690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2027,GenX,0.6,full-base-200
cFix,129968423691.3,3.753857547549999e9,2.40469530485e9,2.43190406044e9,7.689794074179998e9,5.077384021299999e9,6.83792345968e9,3.5327802402200003e9,4.1993826564199996e9,7.769386990669999e9,4.845302705570001e9,9.815564062e7,3.7488967098299994e9,2.7139369773499994e9,3.03159247883e9,7.068356379250003e9,1.0909604211199999e10,4.06696869416e9,2.618485647589999e9,2.3848938662599998e9,7.057375349780001e9,7.19516133778e9,7.304783339659999e9,6.938621317860001e9,4.513779431299999e9,9.42296116339e9,2.3524400856000004e9,2030,GenX,0.6,full-base-200
cVar,28855978576.5,3.2379758354696226e8,1.220323615612599e9,1.1206965392304375e9,4.534146759087592e9,9.882839260486894e8,1.3274060041247747e9,1.116182545071638e9,1.4920956339826288e9,7.338693895188466e8,2.1644069125445554e8,3.041587875914104e8,5.833042165014337e8,1.1807562000829635e9,7.682334420314745e8,3.168561237973854e9,5.374892930911369e9,6.119685013491548e7,1.5590908321433285e8,8.352266153629282e7,3.3361271371838653e8,2.9058250333997164e9,1.4403105854371543e9,3.309780415940637e9,6.091114229120604e8,2.6946189146021132e9,2.0288267696934852e8,2030,GenX,0.1,full-base-200
