case,planning_year,tech_type,agg_zone,end_value
20-week-foresight,2027,Battery,CA,11589.7
20-week-foresight,2027,Battery,MISO,213.7
20-week-foresight,2027,Battery,NE,573.3
20-week-foresight,2027,Battery,PJM,335.3
20-week-foresight,2027,Battery,SOU,876.0
20-week-foresight,2027,Battery,SPP,303.0
20-week-foresight,2027,Battery,TRE,4799.3
20-week-foresight,2027,Battery,WECC,3405.0
20-week-foresight,2027,CCS,CA,2.0
20-week-foresight,2027,CCS,MISO,5.0
20-week-foresight,2027,CCS,NE,
20-week-foresight,2027,CCS,PJM,2.0
20-week-foresight,2027,CCS,SOU,3.0
20-week-foresight,2027,CCS,SPP,3.0
20-week-foresight,2027,CCS,TRE,2.0
20-week-foresight,2027,CCS,WECC,3.0
20-week-foresight,2027,Coal,CA,0.0
20-week-foresight,2027,Coal,MISO,53218.3
20-week-foresight,2027,Coal,NE,330.0
20-week-foresight,2027,Coal,PJM,33077.7
20-week-foresight,2027,Coal,SOU,28354.0
20-week-foresight,2027,Coal,SPP,20193.7
20-week-foresight,2027,Coal,TRE,13198.3
20-week-foresight,2027,Coal,WECC,19333.3
20-week-foresight,2027,Distributed Solar,CA,12149.7
20-week-foresight,2027,Distributed Solar,MISO,6794.3
20-week-foresight,2027,Distributed Solar,NE,6465.7
20-week-foresight,2027,Distributed Solar,PJM,11885.0
20-week-foresight,2027,Distributed Solar,SOU,6883.0
20-week-foresight,2027,Distributed Solar,SPP,1608.3
20-week-foresight,2027,Distributed Solar,TRE,3937.3
20-week-foresight,2027,Distributed Solar,WECC,6228.7
20-week-foresight,2027,Geothermal,CA,30.7
20-week-foresight,2027,Geothermal,MISO,
20-week-foresight,2027,Geothermal,NE,
20-week-foresight,2027,Geothermal,PJM,
20-week-foresight,2027,Geothermal,SOU,
20-week-foresight,2027,Geothermal,SPP,
20-week-foresight,2027,Geothermal,TRE,
20-week-foresight,2027,Geothermal,WECC,864.3
20-week-foresight,2027,Hydro,CA,12612.7
20-week-foresight,2027,Hydro,MISO,10704.7
20-week-foresight,2027,Hydro,NE,8491.7
20-week-foresight,2027,Hydro,PJM,8138.0
20-week-foresight,2027,Hydro,SOU,10130.7
20-week-foresight,2027,Hydro,SPP,5178.0
20-week-foresight,2027,Hydro,TRE,512.3
20-week-foresight,2027,Hydro,WECC,39903.7
20-week-foresight,2027,Hydrogen,CA,2.0
20-week-foresight,2027,Hydrogen,MISO,5.0
20-week-foresight,2027,Hydrogen,NE,5.0
20-week-foresight,2027,Hydrogen,PJM,4.0
20-week-foresight,2027,Hydrogen,SOU,3.0
20-week-foresight,2027,Hydrogen,SPP,3.0
20-week-foresight,2027,Hydrogen,TRE,2.0
20-week-foresight,2027,Hydrogen,WECC,4.5
20-week-foresight,2027,Natural Gas CC,CA,21046.7
20-week-foresight,2027,Natural Gas CC,MISO,58798.7
20-week-foresight,2027,Natural Gas CC,NE,27560.7
20-week-foresight,2027,Natural Gas CC,PJM,59686.7
20-week-foresight,2027,Natural Gas CC,SOU,65845.0
20-week-foresight,2027,Natural Gas CC,SPP,11677.7
20-week-foresight,2027,Natural Gas CC,TRE,41564.0
20-week-foresight,2027,Natural Gas CC,WECC,31115.7
20-week-foresight,2027,Natural Gas CT,CA,13236.0
20-week-foresight,2027,Natural Gas CT,MISO,36391.7
20-week-foresight,2027,Natural Gas CT,NE,4045.0
20-week-foresight,2027,Natural Gas CT,PJM,31675.0
20-week-foresight,2027,Natural Gas CT,SOU,32102.3
20-week-foresight,2027,Natural Gas CT,SPP,11344.3
20-week-foresight,2027,Natural Gas CT,TRE,12876.7
20-week-foresight,2027,Natural Gas CT,WECC,10272.7
20-week-foresight,2027,Nuclear,CA,1.0
20-week-foresight,2027,Nuclear,MISO,20320.7
20-week-foresight,2027,Nuclear,NE,6715.0
20-week-foresight,2027,Nuclear,PJM,33762.3
20-week-foresight,2027,Nuclear,SOU,23925.0
20-week-foresight,2027,Nuclear,SPP,2026.0
20-week-foresight,2027,Nuclear,TRE,5120.7
20-week-foresight,2027,Nuclear,WECC,5176.3
20-week-foresight,2027,Solar,CA,20329.3
20-week-foresight,2027,Solar,MISO,12565.3
20-week-foresight,2027,Solar,NE,4639.7
20-week-foresight,2027,Solar,PJM,11631.7
20-week-foresight,2027,Solar,SOU,24744.0
20-week-foresight,2027,Solar,SPP,855.3
20-week-foresight,2027,Solar,TRE,29208.7
20-week-foresight,2027,Solar,WECC,19817.7
20-week-foresight,2027,Wind,CA,5567.7
20-week-foresight,2027,Wind,MISO,66326.0
20-week-foresight,2027,Wind,NE,7743.0
20-week-foresight,2027,Wind,PJM,19637.7
20-week-foresight,2027,Wind,SOU,3896.3
20-week-foresight,2027,Wind,SPP,55531.0
20-week-foresight,2027,Wind,TRE,57017.0
20-week-foresight,2027,Wind,WECC,48515.3
20-week-foresight,2030,Battery,CA,11582.7
20-week-foresight,2030,Battery,MISO,214.3
20-week-foresight,2030,Battery,NE,596.3
20-week-foresight,2030,Battery,PJM,247.3
20-week-foresight,2030,Battery,SOU,876.3
20-week-foresight,2030,Battery,SPP,302.7
20-week-foresight,2030,Battery,TRE,4788.0
20-week-foresight,2030,Battery,WECC,3399.3
20-week-foresight,2030,CCS,CA,5096.3
20-week-foresight,2030,CCS,MISO,19144.7
20-week-foresight,2030,CCS,NE,
20-week-foresight,2030,CCS,PJM,23881.0
20-week-foresight,2030,CCS,SOU,26204.7
20-week-foresight,2030,CCS,SPP,9.5
20-week-foresight,2030,CCS,TRE,562.3
20-week-foresight,2030,CCS,WECC,5.5
20-week-foresight,2030,Coal,CA,0.0
20-week-foresight,2030,Coal,MISO,47531.7
20-week-foresight,2030,Coal,NE,330.0
20-week-foresight,2030,Coal,PJM,28821.0
20-week-foresight,2030,Coal,SOU,26869.3
20-week-foresight,2030,Coal,SPP,18953.0
20-week-foresight,2030,Coal,TRE,10731.0
20-week-foresight,2030,Coal,WECC,16452.3
20-week-foresight,2030,Distributed Solar,CA,14309.0
20-week-foresight,2030,Distributed Solar,MISO,12074.3
20-week-foresight,2030,Distributed Solar,NE,7853.3
20-week-foresight,2030,Distributed Solar,PJM,17299.3
20-week-foresight,2030,Distributed Solar,SOU,10993.3
20-week-foresight,2030,Distributed Solar,SPP,2810.7
20-week-foresight,2030,Distributed Solar,TRE,6744.7
20-week-foresight,2030,Distributed Solar,WECC,8459.0
20-week-foresight,2030,Geothermal,CA,30.7
20-week-foresight,2030,Geothermal,MISO,
20-week-foresight,2030,Geothermal,NE,
20-week-foresight,2030,Geothermal,PJM,
20-week-foresight,2030,Geothermal,SOU,
20-week-foresight,2030,Geothermal,SPP,
20-week-foresight,2030,Geothermal,TRE,
20-week-foresight,2030,Geothermal,WECC,808.3
20-week-foresight,2030,Hydro,CA,12357.3
20-week-foresight,2030,Hydro,MISO,10467.3
20-week-foresight,2030,Hydro,NE,8140.0
20-week-foresight,2030,Hydro,PJM,7802.7
20-week-foresight,2030,Hydro,SOU,9609.7
20-week-foresight,2030,Hydro,SPP,5178.0
20-week-foresight,2030,Hydro,TRE,509.3
20-week-foresight,2030,Hydro,WECC,39674.7
20-week-foresight,2030,Hydrogen,CA,2.0
20-week-foresight,2030,Hydrogen,MISO,5.0
20-week-foresight,2030,Hydrogen,NE,5.0
20-week-foresight,2030,Hydrogen,PJM,4.0
20-week-foresight,2030,Hydrogen,SOU,3.0
20-week-foresight,2030,Hydrogen,SPP,3.0
20-week-foresight,2030,Hydrogen,TRE,2.0
20-week-foresight,2030,Hydrogen,WECC,4.5
20-week-foresight,2030,Natural Gas CC,CA,21046.7
20-week-foresight,2030,Natural Gas CC,MISO,58565.3
20-week-foresight,2030,Natural Gas CC,NE,27889.0
20-week-foresight,2030,Natural Gas CC,PJM,59686.7
