case,planning_year,tech_type,agg_zone,end_value
20-week-foresight,2027,Battery,CA,11581.3
20-week-foresight,2027,Battery,MISO,247.3
20-week-foresight,2027,Battery,NE,595.0
20-week-foresight,2027,Battery,PJM,364.0
20-week-foresight,2027,Battery,SOU,898.7
20-week-foresight,2027,Battery,SPP,324.3
20-week-foresight,2027,Battery,TRE,4802.3
20-week-foresight,2027,Battery,WECC,3433.0
20-week-foresight,2027,CCS,CA,5.0
20-week-foresight,2027,CCS,MISO,13.5
20-week-foresight,2027,CCS,NE,
20-week-foresight,2027,CCS,PJM,5.5
20-week-foresight,2027,CCS,SOU,7.5
20-week-foresight,2027,CCS,SPP,7.5
20-week-foresight,2027,CCS,TRE,5.0
20-week-foresight,2027,CCS,WECC,6.5
20-week-foresight,2027,Coal,CA,0.0
20-week-foresight,2027,Coal,MISO,52527.7
20-week-foresight,2027,Coal,NE,330.0
20-week-foresight,2027,Coal,PJM,32702.0
20-week-foresight,2027,Coal,SOU,28019.3
20-week-foresight,2027,Coal,SPP,20193.7
20-week-foresight,2027,Coal,TRE,12980.0
20-week-foresight,2027,Coal,WECC,18493.0
20-week-foresight,2027,Distributed Solar,CA,11425.0
20-week-foresight,2027,Distributed Solar,MISO,5246.7
20-week-foresight,2027,Distributed Solar,NE,5962.3
20-week-foresight,2027,Distributed Solar,PJM,9860.0
20-week-foresight,2027,Distributed Solar,SOU,5463.3
20-week-foresight,2027,Distributed Solar,SPP,1242.0
20-week-foresight,2027,Distributed Solar,TRE,2996.7
20-week-foresight,2027,Distributed Solar,WECC,5470.0
20-week-foresight,2027,Geothermal,CA,24.0
20-week-foresight,2027,Geothermal,MISO,
20-week-foresight,2027,Geothermal,NE,
20-week-foresight,2027,Geothermal,PJM,
20-week-foresight,2027,Geothermal,SOU,
20-week-foresight,2027,Geothermal,SPP,
20-week-foresight,2027,Geothermal,TRE,
20-week-foresight,2027,Geothermal,WECC,652.0
20-week-foresight,2027,Hydro,CA,12410.0
20-week-foresight,2027,Hydro,MISO,10641.0
20-week-foresight,2027,Hydro,NE,8305.3
20-week-foresight,2027,Hydro,PJM,8069.7
20-week-foresight,2027,Hydro,SOU,10043.0
20-week-foresight,2027,Hydro,SPP,5152.0
20-week-foresight,2027,Hydro,TRE,499.0
20-week-foresight,2027,Hydro,WECC,39617.0
20-week-foresight,2027,Hydrogen,CA,6.0
20-week-foresight,2027,Hydrogen,MISO,17.5
20-week-foresight,2027,Hydrogen,NE,13.0
20-week-foresight,2027,Hydrogen,PJM,13.0
20-week-foresight,2027,Hydrogen,SOU,12.0
20-week-foresight,2027,Hydrogen,SPP,11.5
20-week-foresight,2027,Hydrogen,TRE,8.0
20-week-foresight,2027,Hydrogen,WECC,16.0
20-week-foresight,2027,Natural Gas CC,CA,21025.7
20-week-foresight,2027,Natural Gas CC,MISO,58128.3
20-week-foresight,2027,Natural Gas CC,NE,29010.7
20-week-foresight,2027,Natural Gas CC,PJM,59245.0
20-week-foresight,2027,Natural Gas CC,SOU,64584.3
20-week-foresight,2027,Natural Gas CC,SPP,11509.7
20-week-foresight,2027,Natural Gas CC,TRE,41551.3
20-week-foresight,2027,Natural Gas CC,WECC,30909.0
20-week-foresight,2027,Natural Gas CT,CA,13238.0
20-week-foresight,2027,Natural Gas CT,MISO,36354.3
20-week-foresight,2027,Natural Gas CT,NE,4049.0
20-week-foresight,2027,Natural Gas CT,PJM,31692.0
20-week-foresight,2027,Natural Gas CT,SOU,32097.0
20-week-foresight,2027,Natural Gas CT,SPP,11306.7
20-week-foresight,2027,Natural Gas CT,TRE,12815.0
20-week-foresight,2027,Natural Gas CT,WECC,10260.7
20-week-foresight,2027,Nuclear,CA,2.0
20-week-foresight,2027,Nuclear,MISO,20322.3
20-week-foresight,2027,Nuclear,NE,6716.0
20-week-foresight,2027,Nuclear,PJM,33763.7
20-week-foresight,2027,Nuclear,SOU,23926.0
20-week-foresight,2027,Nuclear,SPP,2027.0
